CRI_YM,TAG,BD_HD,DAY,TIME,SEX,AGE,NUM,TIME2
202005,cosmetics,holiday,G.SUN,B.06-10,F,A.2O,656,38
201905,books,holiday,G.SUN,A.02-06,F,B.3O,137,37
202105,fashion,holiday,G.SUN,C.10-14,M,D.5O,2784,39
201905,home_shopping,business_day,D.THU,D.14-18,M,E.60,1035,22
202105,home_appliance,business_day,E.FRI,A.02-06,M,E.60,30,25
201905,car,business_day,B.TUE,D.14-18,F,A.2O,96,10
202005,sports,holiday,E.FRI,F.22-02,M,B.3O,147,30
201905,books,holiday,F.SAT,A.02-06,M,C.4O,80,31
202105,home_shopping,holiday,C.WED,F.22-02,F,A.2O,377,18
202005,baby,business_day,D.THU,B.06-10,M,C.4O,293,20
202005,fashion,business_day,B.TUE,D.14-18,M,A.2O,1563,10
202005,interior,business_day,E.FRI,B.06-10,F,E.60,92,26
201905,golf,business_day,E.FRI,E.18-22,F,C.4O,85,29
202005,fashion,business_day,B.TUE,F.22-02,F,B.3O,9675,12
201905,baby,business_day,C.WED,A.02-06,M,E.60,7,13
201905,grocery,holiday,F.SAT,F.22-02,M,A.2O,350,36
202005,home_shopping,business_day,C.WED,E.18-22,M,E.60,1458,17
202105,golf,business_day,C.WED,A.02-06,F,D.5O,7,13
202105,books,holiday,C.WED,E.18-22,M,D.5O,253,17
202105,sports,business_day,C.WED,F.22-02,F,B.3O,477,18
201905,baby,holiday,C.WED,F.22-02,M,D.5O,22,18
202005,daily_office,business_day,D.THU,C.10-14,F,E.60,2378,21
202005,baby,business_day,D.THU,D.14-18,F,A.2O,419,22
201905,baby,holiday,F.SAT,B.06-10,M,E.60,13,32
201905,interior,holiday,A.MON,A.02-06,F,D.5O,11,1
202105,fashion,holiday,G.SUN,D.14-18,F,A.2O,7247,40
201905,home_shopping,business_day,B.TUE,A.02-06,F,A.2O,92,7
202105,sports,business_day,C.WED,E.18-22,M,E.60,35,17
202005,interior,business_day,C.WED,A.02-06,F,E.60,38,13
202005,sports,business_day,D.THU,E.18-22,M,C.4O,516,23
202105,fashion,holiday,G.SUN,F.22-02,M,B.3O,6642,42
202105,pet,holiday,C.WED,F.22-02,F,A.2O,251,18
201905,pet,holiday,A.MON,E.18-22,M,A.2O,20,5
202105,home_shopping,holiday,G.SUN,A.02-06,F,E.60,1360,37
201905,hobby,business_day,E.FRI,D.14-18,F,B.3O,432,28
202105,fashion,business_day,E.FRI,A.02-06,F,A.2O,1168,25
